id_2024,id_2020,id_2016,lib_con_scale,democrat_thermometer,republican_thermometer,youtube_use,election_year
141404,,,Extremely conservative,0.0,100.0,Yes,2024
141777,,,Slightly conservative,60.0,0.0,Yes,2024
365029,,,Extremely Liberal,,,No,2024
237087,,,DK,,,,2024
352166,,,Extremely Liberal,85.0,0.0,No,2024
216150,,,DK,,,,2024
207361,,,Moderate,60.0,70.0,Yes,2024
141325,,,Liberal,70.0,0.0,Yes,2024
200860,,,Liberal,50.0,15.0,No,2024
319800,,,Extremely conservative,15.0,85.0,No,2024
215611,,,DK,,,,2024
321471,,,Moderate,30.0,80.0,No,2024
236496,,,Conservative,0.0,85.0,Yes,2024
333718,,,Slightly conservative,30.0,60.0,No,2024
371192,,,Liberal,70.0,0.0,Yes,2024
399764,,,Moderate,,,,2024
140692,,,Slightly liberal,80.0,0.0,Yes,2024
344488,,,Slightly liberal,70.0,15.0,Yes,2024
141598,,,Conservative,15.0,85.0,No,2024
335788,,,DK,100.0,0.0,No,2024
228309,,,Conservative,15.0,85.0,No,2024
343797,,,Slightly liberal,0.0,100.0,Yes,2024
227121,,,Conservative,0.0,90.0,Yes,2024
141808,,,Slightly liberal,100.0,0.0,Yes,2024
317590,,,Moderate,40.0,70.0,Yes,2024
205695,,,Moderate,60.0,15.0,Yes,2024
142283,,,Liberal,90.0,0.0,Yes,2024
239870,,,Liberal,60.0,0.0,Yes,2024
141305,,,Liberal,100.0,0.0,Yes,2024
140930,,,DK,70.0,60.0,Yes,2024
141166,,,Moderate,,30.0,Yes,2024
141432,,,Conservative,0.0,40.0,Yes,2024
140221,,,Conservative,0.0,100.0,No,2024
141790,,,Slightly liberal,85.0,0.0,Yes,2024
331834,,,DK,50.0,15.0,No,2024
225290,,,DK,,,,2024
210039,,,Moderate,,,,2024
205296,,,Conservative,,,,2024
234696,,,DK,15.0,60.0,No,2024
204256,,,DK,100.0,0.0,,2024
229701,,,DK,0.0,50.0,No,2024
140432,,,Moderate,100.0,0.0,Yes,2024
387027,,,Liberal,85.0,0.0,Yes,2024
230186,,,Extremely conservative,,,,2024
142546,,,Slightly conservative,30.0,85.0,Yes,2024
222951,,,Slightly liberal,60.0,70.0,Yes,2024
368346,,,Slightly conservative,12.0,60.0,Yes,2024
216593,,,Slightly conservative,0.0,85.0,Yes,2024
140891,,,DK,0.0,100.0,,2024
141430,,,Conservative,0.0,100.0,No,2024
368110,,,DK,60.0,30.0,No,2024
140407,,,Conservative,0.0,100.0,Yes,2024
204941,,,Extremely conservative,15.0,80.0,Yes,2024
140881,,,Slightly liberal,100.0,0.0,No,2024
140561,,,Conservative,0.0,100.0,Yes,2024
216852,,,Slightly conservative,40.0,60.0,Yes,2024
141083,,,Extremely conservative,0.0,100.0,Yes,2024
213875,,,DK,100.0,0.0,Yes,2024
209094,,,DK,15.0,100.0,Yes,2024
214075,,,Slightly liberal,15.0,70.0,No,2024
208402,,,Moderate,18.0,0.0,No,2024
142541,,,Liberal,100.0,100.0,No,2024
210704,,,Moderate,0.0,86.0,No,2024
341524,,,Liberal,70.0,15.0,Yes,2024
239012,,,Extremely conservative,5.0,85.0,No,2024
140379,,,DK,0.0,100.0,No,2024
319509,,,Liberal,100.0,0.0,Yes,2024
371522,,,Liberal,60.0,40.0,Yes,2024
142449,,,Extremely Liberal,85.0,0.0,Yes,2024
142302,,,Moderate,0.0,70.0,Yes,2024
141972,,,Moderate,75.0,25.0,Yes,2024
239988,,,Moderate,15.0,90.0,No,2024
141682,,,Moderate,90.0,0.0,Yes,2024
142043,,,Extremely Liberal,75.0,0.0,Yes,2024
229951,,,Moderate,50.0,50.0,Yes,2024
140034,,,Conservative,0.0,100.0,Yes,2024
228980,,,Slightly liberal,0.0,85.0,Yes,2024
224316,,,Conservative,15.0,60.0,Yes,2024
142347,,,Extremely Liberal,72.0,0.0,Yes,2024
142258,,,Extremely conservative,40.0,50.0,No,2024
142405,,,Conservative,25.0,70.0,Yes,2024
140555,,,Moderate,85.0,0.0,Yes,2024
141062,,,Conservative,0.0,100.0,Yes,2024
235340,,,Slightly liberal,100.0,0.0,No,2024
222425,,,Conservative,15.0,100.0,No,2024
140276,,,Conservative,15.0,55.0,Yes,2024
141789,,,Moderate,85.0,0.0,No,2024
141425,,,Conservative,100.0,0.0,Yes,2024
141529,,,Conservative,0.0,90.0,No,2024
142668,,,Moderate,100.0,0.0,No,2024
216419,,,Slightly liberal,85.0,0.0,Yes,2024
239495,,,Extremely conservative,,,No,2024
213471,,,Slightly conservative,0.0,85.0,Yes,2024
232983,,,Liberal,85.0,15.0,Yes,2024
210722,,,Moderate,,,,2024
140260,,,Slightly liberal,,,,2024
220220,,,DK,60.0,0.0,No,2024
142544,,,Liberal,85.0,0.0,Yes,2024
142519,,,Moderate,30.0,60.0,No,2024
204464,,,Moderate,70.0,0.0,No,2024
142459,,,Slightly conservative,,,,2024
140114,,,Moderate,0.0,100.0,Yes,2024
225954,,,Moderate,,,No,2024
226537,,,Liberal,,,,2024
141164,,,Moderate,60.0,0.0,Yes,2024
348052,,,Conservative,0.0,75.0,Yes,2024
141421,,,Moderate,50.0,0.0,No,2024
230878,,,Slightly conservative,30.0,70.0,Yes,2024
217205,,,Slightly conservative,40.0,70.0,Yes,2024
141228,,,Liberal,75.0,0.0,Yes,2024
203898,,,DK,40.0,40.0,,2024
361668,,,DK,100.0,0.0,Yes,2024
140899,,,Slightly conservative,50.0,0.0,No,2024
203023,,,Moderate,70.0,70.0,No,2024
141147,,,Conservative,85.0,0.0,Yes,2024
142021,,,Moderate,70.0,40.0,Yes,2024
140292,,,Moderate,50.0,50.0,Yes,2024
142617,,,Slightly liberal,75.0,0.0,Yes,2024
213708,,,Conservative,30.0,0.0,No,2024
203384,,,Liberal,100.0,0.0,Yes,2024
140587,,,Moderate,70.0,0.0,No,2024
140334,,,Extremely Liberal,100.0,0.0,Yes,2024
142162,,,Moderate,100.0,0.0,No,2024
385696,,,DK,100.0,15.0,No,2024
140498,,,Moderate,0.0,85.0,Yes,2024
217943,,,Liberal,85.0,0.0,Yes,2024
238038,,,Slightly liberal,100.0,0.0,Yes,2024
141708,,,Moderate,,,,2024
229027,,,Conservative,15.0,95.0,Yes,2024
141539,,,Slightly conservative,85.0,0.0,Yes,2024
324515,,,Moderate,85.0,0.0,No,2024
389940,,,Slightly liberal,85.0,0.0,Yes,2024
372752,,,DK,,,,2024
142636,,,Conservative,10.0,90.0,Yes,2024
206675,,,Moderate,60.0,15.0,No,2024
140655,,,Conservative,0.0,85.0,Yes,2024
377798,,,Conservative,0.0,100.0,No,2024
140838,,,DK,55.0,0.0,No,2024
208366,,,Slightly liberal,60.0,0.0,Yes,2024
140199,,,Liberal,15.0,2.0,Yes,2024
140915,,,Slightly liberal,70.0,0.0,Yes,2024
223776,,,Slightly liberal,,,No,2024
142643,,,Moderate,100.0,0.0,Yes,2024
142474,,,Slightly conservative,15.0,85.0,No,2024
221043,,,DK,100.0,30.0,No,2024
140952,,,Slightly conservative,0.0,60.0,Yes,2024
222845,,,DK,0.0,100.0,No,2024
389759,,,Liberal,100.0,0.0,No,2024
141716,,,Conservative,0.0,60.0,No,2024
365669,,,Moderate,50.0,50.0,Yes,2024
215114,,,Extremely conservative,0.0,70.0,Yes,2024
141798,,,Extremely conservative,0.0,100.0,Yes,2024
222348,,,Extremely Liberal,5.0,0.0,Yes,2024
141715,,,Conservative,30.0,85.0,Yes,2024
140291,,,Extremely Liberal,60.0,0.0,Yes,2024
140504,,,Moderate,15.0,50.0,Yes,2024
362831,,,Moderate,0.0,100.0,No,2024
140297,,,Moderate,50.0,0.0,No,2024
235777,,,Moderate,85.0,15.0,Yes,2024
357072,,,Slightly liberal,100.0,0.0,No,2024
223812,,,Conservative,40.0,60.0,Yes,2024
219621,,,Conservative,0.0,60.0,No,2024
237602,,,Slightly liberal,75.0,0.0,Yes,2024
214296,,,Liberal,70.0,0.0,Yes,2024
234322,,,Moderate,30.0,70.0,No,2024
224622,,,Conservative,0.0,60.0,No,2024
140870,,,Conservative,15.0,85.0,Yes,2024
140341,,,Moderate,0.0,85.0,No,2024
391970,,,Conservative,60.0,70.0,Yes,2024
140716,,,Slightly conservative,0.0,80.0,Yes,2024
228880,,,DK,50.0,70.0,Yes,2024
140329,,,Conservative,0.0,85.0,Yes,2024
235980,,,DK,0.0,100.0,Yes,2024
201151,,,DK,40.0,40.0,Yes,2024
233217,,,Extremely Liberal,100.0,0.0,Yes,2024
142176,,,Moderate,85.0,0.0,Yes,2024
236004,,,Moderate,0.0,0.0,No,2024
140649,,,Conservative,0.0,90.0,No,2024
228598,,,,,,No,2024
395658,,,Liberal,70.0,0.0,No,2024
222383,,,Slightly conservative,,,,2024
362981,,,Liberal,70.0,0.0,Yes,2024
141360,,,Conservative,0.0,100.0,No,2024
140530,,,Moderate,40.0,0.0,Yes,2024
233690,,,Slightly liberal,95.0,0.0,Yes,2024
140371,,,Extremely Liberal,100.0,0.0,No,2024
142340,,,Slightly liberal,70.0,0.0,Yes,2024
216528,,,Moderate,85.0,0.0,Yes,2024
360982,,,Liberal,100.0,0.0,No,2024
218361,,,Slightly conservative,60.0,15.0,No,2024
228962,,,Extremely conservative,0.0,100.0,Yes,2024
230420,,,Extremely conservative,0.0,100.0,Yes,2024
321149,,,Moderate,,,,2024
347601,,,Moderate,50.0,50.0,Yes,2024
140312,,,Extremely conservative,0.0,100.0,Yes,2024
233276,,,Slightly liberal,100.0,0.0,Yes,2024
210526,,,DK,60.0,85.0,Yes,2024
353659,,,Conservative,0.0,100.0,Yes,2024
140043,,,Extremely conservative,0.0,100.0,No,2024
210476,,,,0.0,0.0,No,2024
221757,,,DK,0.0,100.0,No,2024
358767,,,Moderate,,,,2024
216174,,,Moderate,60.0,0.0,Yes,2024
234149,,,Extremely Liberal,0.0,0.0,Yes,2024
325225,,,DK,70.0,0.0,Yes,2024
140699,,,Moderate,85.0,0.0,No,2024
228090,,,Liberal,90.0,0.0,No,2024
320724,,,Moderate,0.0,100.0,No,2024
338645,,,Slightly liberal,85.0,50.0,Yes,2024
214729,,,Conservative,0.0,90.0,No,2024
142270,,,Moderate,77.0,15.0,No,2024
140296,,,Slightly liberal,85.0,0.0,Yes,2024
140420,,,Conservative,,100.0,Yes,2024
141082,,,Conservative,15.0,85.0,Yes,2024
140831,,,Conservative,0.0,100.0,No,2024
200830,,,DK,50.0,50.0,Yes,2024
213059,,,Slightly liberal,85.0,0.0,Yes,2024
202098,,,Conservative,0.0,100.0,No,2024
140293,,,Moderate,70.0,0.0,No,2024
361162,,,Moderate,100.0,0.0,No,2024
207089,,,Liberal,85.0,0.0,Yes,2024
370274,,,Moderate,85.0,0.0,No,2024
141101,,,Extremely conservative,0.0,70.0,No,2024
141461,,,Slightly liberal,70.0,0.0,No,2024
140503,,,Moderate,100.0,0.0,Yes,2024
140694,,,Moderate,0.0,100.0,No,2024
235812,,,Extremely Liberal,100.0,0.0,No,2024
212429,,,Slightly conservative,0.0,60.0,No,2024
141031,,,Slightly conservative,20.0,55.0,Yes,2024
216251,,,Extremely conservative,0.0,100.0,Yes,2024
203934,,,Liberal,85.0,0.0,No,2024
217431,,,Slightly conservative,60.0,50.0,Yes,2024
225604,,,Slightly liberal,70.0,0.0,Yes,2024
229823,,,Liberal,15.0,100.0,No,2024
208390,,,Slightly liberal,85.0,0.0,No,2024
327856,,,Slightly liberal,60.0,50.0,No,2024
350406,,,Slightly conservative,25.0,20.0,Yes,2024
214020,,,Conservative,0.0,100.0,Yes,2024
231354,,,Conservative,,,No,2024
140629,,,Extremely conservative,0.0,100.0,Yes,2024
377074,,,Moderate,60.0,70.0,Yes,2024
349670,,,Moderate,100.0,0.0,Yes,2024
203951,,,Moderate,50.0,60.0,No,2024
201024,,,Slightly liberal,85.0,0.0,No,2024
141193,,,Liberal,100.0,0.0,Yes,2024
233048,,,DK,100.0,30.0,,2024
141094,,,Moderate,,,,2024
239143,,,Conservative,0.0,80.0,No,2024
353269,,,Conservative,45.0,75.0,No,2024
213489,,,Conservative,,,,2024
208372,,,Moderate,70.0,5.0,Yes,2024
213536,,,Moderate,85.0,0.0,No,2024
206717,,,Conservative,0.0,85.0,No,2024
216257,,,Extremely conservative,0.0,100.0,Yes,2024
209969,,,Extremely conservative,30.0,85.0,No,2024
140844,,,Conservative,0.0,100.0,No,2024
140937,,,Slightly conservative,90.0,5.0,Yes,2024
232567,,,Moderate,47.0,53.0,Yes,2024
215617,,,Moderate,70.0,0.0,Yes,2024
395396,,,Moderate,100.0,50.0,Yes,2024
141441,,,DK,60.0,85.0,No,2024
371396,,,Moderate,55.0,0.0,Yes,2024
314130,,,Slightly liberal,80.0,5.0,Yes,2024
141930,,,Slightly liberal,0.0,100.0,Yes,2024
209034,,,Conservative,0.0,100.0,No,2024
140596,,,Extremely conservative,0.0,98.0,Yes,2024
226185,,,DK,80.0,0.0,No,2024
352901,,,DK,20.0,80.0,No,2024
350963,,,Conservative,,,,2024
224287,,,Slightly conservative,,,,2024
316747,,,DK,70.0,50.0,Yes,2024
232693,,,Moderate,30.0,0.0,Yes,2024
204568,,,Conservative,0.0,100.0,No,2024
142146,,,Slightly liberal,,,,2024
316791,,,DK,60.0,15.0,Yes,2024
392587,,,Slightly conservative,,,,2024
141980,,,Conservative,30.0,70.0,Yes,2024
358575,,,Liberal,70.0,15.0,Yes,2024
316605,,,Liberal,87.0,0.0,No,2024
226513,,,Slightly conservative,0.0,0.0,Yes,2024
207690,,,Slightly conservative,99.0,0.0,Yes,2024
229834,,,Moderate,50.0,50.0,No,2024
234173,,,Liberal,85.0,0.0,No,2024
322068,,,Conservative,10.0,100.0,Yes,2024
214950,,,DK,,,,2024
222466,,,Extremely conservative,,,,2024
142228,,,Moderate,85.0,0.0,Yes,2024
142212,,,Moderate,0.0,100.0,Yes,2024
211739,,,Slightly liberal,80.0,0.0,Yes,2024
319951,,,Moderate,60.0,0.0,Yes,2024
140875,,,DK,0.0,100.0,Yes,2024
141824,,,Moderate,15.0,60.0,Yes,2024
389211,,,Extremely conservative,0.0,100.0,Yes,2024
231824,,,Slightly liberal,,,,2024
219756,,,Slightly conservative,40.0,15.0,No,2024
220631,,,Extremely conservative,0.0,100.0,Yes,2024
227647,,,Moderate,70.0,15.0,Yes,2024
140140,,,Slightly liberal,15.0,85.0,Yes,2024
228944,,,Liberal,85.0,0.0,Yes,2024
142350,,,Slightly liberal,20.0,80.0,Yes,2024
228208,,,Conservative,,,,2024
140662,,,Moderate,70.0,0.0,Yes,2024
315762,,,Conservative,0.0,50.0,No,2024
212902,,,,50.0,40.0,No,2024
373800,,,Conservative,0.0,100.0,No,2024
214740,,,Conservative,0.0,85.0,Yes,2024
399841,,,Extremely Liberal,80.0,10.0,Yes,2024
142172,,,Moderate,100.0,0.0,Yes,2024
141261,,,Slightly conservative,50.0,0.0,No,2024
238534,,,Moderate,50.0,0.0,Yes,2024
142496,,,Conservative,,100.0,No,2024
327292,,,Conservative,70.0,0.0,No,2024
140029,,,Slightly conservative,70.0,0.0,No,2024
214873,,,Conservative,0.0,70.0,No,2024
209887,,,Conservative,0.0,35.0,No,2024
222018,,,Conservative,0.0,100.0,Yes,2024
140541,,,DK,70.0,70.0,Yes,2024
317777,,,Extremely conservative,0.0,100.0,No,2024
141069,,,DK,15.0,0.0,Yes,2024
141616,,,Liberal,100.0,0.0,Yes,2024
216115,,,Moderate,,,,2024
225972,,,Slightly liberal,80.0,0.0,Yes,2024
234215,,,Liberal,95.0,0.0,Yes,2024
238775,,,Moderate,40.0,60.0,Yes,2024
221822,,,Extremely conservative,0.0,100.0,No,2024
140419,,,Moderate,,70.0,Yes,2024
140908,,,Moderate,,50.0,Yes,2024
360494,,,Moderate,,,,2024
374370,,,Liberal,85.0,0.0,Yes,2024
142233,,,Conservative,70.0,15.0,Yes,2024
235830,,,Slightly conservative,30.0,90.0,Yes,2024
232687,,,DK,100.0,0.0,Yes,2024
141014,,,Slightly liberal,70.0,0.0,No,2024
356884,,,Slightly conservative,30.0,40.0,Yes,2024
141530,,,Liberal,60.0,0.0,Yes,2024
385966,,,Conservative,0.0,85.0,No,2024
385749,,,DK,15.0,60.0,Yes,2024
142563,,,DK,0.0,100.0,Yes,2024
141205,,,Slightly conservative,20.0,35.0,No,2024
140787,,,Slightly conservative,0.0,100.0,No,2024
141035,,,Liberal,60.0,0.0,Yes,2024
142417,,,Liberal,70.0,0.0,Yes,2024
215658,,,Slightly liberal,60.0,15.0,Yes,2024
235847,,,Conservative,0.0,90.0,Yes,2024
217485,,,Slightly conservative,15.0,85.0,No,2024
364230,,,Moderate,60.0,60.0,Yes,2024
140159,,,Extremely Liberal,15.0,0.0,Yes,2024
140136,,,Slightly conservative,60.0,0.0,No,2024
140861,,,Slightly liberal,85.0,0.0,Yes,2024
141881,,,DK,60.0,0.0,Yes,2024
374249,,,Conservative,0.0,95.0,Yes,2024
142443,,,Slightly liberal,70.0,15.0,Yes,2024
318675,,,Conservative,10.0,90.0,Yes,2024
141704,,,Conservative,15.0,85.0,No,2024
140888,,,Slightly conservative,40.0,15.0,Yes,2024
140359,,,Slightly conservative,0.0,100.0,Yes,2024
142415,,,Moderate,85.0,0.0,Yes,2024
228025,,,DK,100.0,10.0,Yes,2024
366241,,,Conservative,0.0,100.0,No,2024
142380,,,Moderate,50.0,0.0,Yes,2024
233897,,,Liberal,80.0,0.0,Yes,2024
362848,,,Extremely Liberal,,,,2024
142423,,,Liberal,85.0,0.0,Yes,2024
140690,,,Liberal,85.0,0.0,Yes,2024
217017,,,Conservative,15.0,85.0,No,2024
140078,,,DK,85.0,0.0,No,2024
233163,,,Conservative,,,No,2024
217849,,,Moderate,100.0,40.0,No,2024
336325,,,Conservative,0.0,100.0,No,2024
207926,,,DK,1.0,100.0,Yes,2024
238492,,,Extremely conservative,0.0,85.0,No,2024
214249,,,Moderate,75.0,25.0,No,2024
140236,,,Liberal,95.0,0.0,Yes,2024
218847,,,DK,,,,2024
140809,,,Conservative,0.0,100.0,Yes,2024
392763,,,DK,15.0,70.0,No,2024
140012,,,Moderate,60.0,0.0,No,2024
141264,,,Slightly conservative,50.0,0.0,Yes,2024
141485,,,Liberal,45.0,70.0,Yes,2024
212149,,,Moderate,50.0,40.0,Yes,2024
315948,,,Conservative,15.0,85.0,No,2024
339480,,,Moderate,,,,2024
140405,,,Slightly conservative,0.0,60.0,Yes,2024
201871,,,Liberal,90.0,0.0,Yes,2024
140752,,,Slightly liberal,30.0,70.0,Yes,2024
142439,,,Slightly liberal,,0.0,No,2024
315901,,,DK,50.0,50.0,No,2024
140476,,,Conservative,30.0,40.0,Yes,2024
142038,,,Moderate,,,,2024
214723,,,Conservative,0.0,100.0,No,2024
354679,,,DK,70.0,100.0,Yes,2024
366281,,,Extremely conservative,,,,2024
141042,,,Moderate,70.0,0.0,Yes,2024
219745,,,Liberal,70.0,,Yes,2024
141700,,,Moderate,15.0,60.0,Yes,2024
222565,,,Slightly liberal,98.0,0.0,Yes,2024
140650,,,Liberal,85.0,15.0,Yes,2024
209946,,,DK,75.0,0.0,Yes,2024
219232,,,Slightly conservative,,,No,2024
371499,,,Slightly conservative,60.0,0.0,No,2024
237774,,,Conservative,0.0,100.0,No,2024
142394,,,Moderate,100.0,0.0,Yes,2024
349381,,,Moderate,0.0,100.0,No,2024
141088,,,Conservative,0.0,99.0,No,2024
140152,,,Extremely Liberal,100.0,0.0,Yes,2024
316162,,,Moderate,60.0,45.0,Yes,2024
236414,,,Slightly liberal,85.0,0.0,No,2024
232323,,,Moderate,0.0,100.0,Yes,2024
208090,,,Slightly liberal,90.0,10.0,Yes,2024
140226,,,Conservative,15.0,85.0,Yes,2024
220142,,,Conservative,0.0,60.0,Yes,2024
232734,,,Liberal,,,,2024
320049,,,Conservative,30.0,85.0,Yes,2024
235974,,,Moderate,100.0,0.0,Yes,2024
142456,,,Liberal,100.0,0.0,Yes,2024
228203,,,Conservative,15.0,85.0,No,2024
140207,,,DK,40.0,60.0,,2024
210913,,,Liberal,100.0,0.0,Yes,2024
214855,,,Conservative,0.0,70.0,Yes,2024
236508,,,Slightly liberal,50.0,0.0,No,2024
221545,,,Slightly liberal,100.0,0.0,Yes,2024
336854,,,DK,0.0,90.0,Yes,2024
141829,,,DK,60.0,15.0,No,2024
200391,,,Liberal,,,,2024
140399,,,Liberal,100.0,0.0,No,2024
212271,,,Slightly liberal,70.0,0.0,No,2024
140461,,,Moderate,100.0,0.0,No,2024
366692,,,Moderate,50.0,50.0,Yes,2024
214909,,,Extremely conservative,0.0,95.0,No,2024
228066,,,Slightly liberal,85.0,0.0,Yes,2024
237330,,,DK,70.0,15.0,No,2024
142135,,,Conservative,0.0,85.0,Yes,2024
336826,,,Slightly liberal,95.0,10.0,Yes,2024
341439,,,Conservative,0.0,100.0,Yes,2024
228475,,,Conservative,,,,2024
230821,,,DK,40.0,85.0,Yes,2024
220380,,,Conservative,0.0,85.0,Yes,2024
376115,,,Slightly conservative,30.0,60.0,Yes,2024
214534,,,DK,,,No,2024
225296,,,Moderate,,,,2024
370734,,,Slightly conservative,50.0,100.0,Yes,2024
224540,,,DK,0.0,85.0,No,2024
396139,,,Slightly conservative,60.0,15.0,Yes,2024
219014,,,Slightly liberal,,,,2024
141457,,,Slightly liberal,30.0,70.0,Yes,2024
141070,,,Slightly conservative,85.0,0.0,No,2024
358072,,,DK,60.0,30.0,No,2024
141382,,,DK,60.0,0.0,No,2024
320953,,,Slightly liberal,70.0,0.0,No,2024
211468,,,Slightly conservative,,,,2024
140332,,,Conservative,0.0,85.0,Yes,2024
224563,,,Liberal,,,,2024
140384,,,Slightly liberal,60.0,15.0,No,2024
214175,,,Moderate,0.0,85.0,No,2024
140300,,,Slightly conservative,15.0,70.0,Yes,2024
140452,,,Liberal,80.0,2.0,Yes,2024
140472,,,Conservative,15.0,85.0,Yes,2024
376652,,,Moderate,15.0,70.0,Yes,2024
141979,,,Slightly conservative,0.0,85.0,Yes,2024
220327,,,Extremely Liberal,70.0,0.0,Yes,2024
141233,,,Slightly conservative,0.0,100.0,No,2024
222589,,,Liberal,70.0,0.0,Yes,2024
220262,,,Slightly liberal,60.0,30.0,Yes,2024
140126,,,Slightly liberal,100.0,0.0,Yes,2024
212441,,,Conservative,30.0,90.0,Yes,2024
141011,,,Extremely conservative,0.0,100.0,Yes,2024
203928,,,Slightly liberal,60.0,0.0,Yes,2024
141178,,,Moderate,60.0,15.0,Yes,2024
140484,,,Conservative,0.0,100.0,No,2024
240053,,,Extremely Liberal,100.0,0.0,No,2024
141706,,,Conservative,40.0,85.0,Yes,2024
140089,,,Slightly conservative,15.0,60.0,Yes,2024
218551,,,DK,90.0,10.0,No,2024
141502,,,DK,60.0,2.0,No,2024
217634,,,Slightly liberal,85.0,60.0,Yes,2024
220984,,,Moderate,100.0,15.0,No,2024
208134,,,Moderate,60.0,15.0,No,2024
230751,,,Moderate,85.0,0.0,Yes,2024
227771,,,Extremely Liberal,,,,2024
141356,,,Conservative,85.0,15.0,Yes,2024
233967,,,Liberal,70.0,15.0,Yes,2024
224085,,,DK,25.0,40.0,Yes,2024
141897,,,Slightly conservative,0.0,100.0,Yes,2024
328840,,,Moderate,100.0,15.0,Yes,2024
214069,,,Slightly conservative,100.0,0.0,No,2024
140470,,,Extremely Liberal,100.0,0.0,Yes,2024
384053,,,Moderate,50.0,60.0,Yes,2024
225029,,,Moderate,70.0,0.0,Yes,2024
231770,,,Liberal,50.0,0.0,Yes,2024
230127,,,,0.0,100.0,No,2024
227151,,,Extremely conservative,0.0,100.0,Yes,2024
140948,,,Liberal,85.0,2.0,Yes,2024
221834,,,Extremely conservative,0.0,0.0,No,2024
207033,,,Extremely Liberal,90.0,0.0,Yes,2024
140971,,,Moderate,70.0,0.0,Yes,2024
140797,,,Slightly liberal,100.0,0.0,No,2024
232015,,,Moderate,15.0,80.0,Yes,2024
220702,,,Extremely Liberal,90.0,0.0,Yes,2024
217234,,,Liberal,100.0,0.0,Yes,2024
233838,,,Liberal,,,,2024
