year,state,state_po,candidate,party,votes
2016,ALABAMA,AL,"TRUMP, DONALD J.",REPUBLICAN,2123372
2016,ALABAMA,AL,"CLINTON, HILLARY",DEMOCRAT,2123372
2016,ALASKA,AK,"TRUMP, DONALD J.",REPUBLICAN,318608
2016,ALASKA,AK,"CLINTON, HILLARY",DEMOCRAT,318608
2016,ARIZONA,AZ,"TRUMP, DONALD J.",REPUBLICAN,2573165
2016,ARIZONA,AZ,"CLINTON, HILLARY",DEMOCRAT,2573165
2016,ARKANSAS,AR,"TRUMP, DONALD J.",REPUBLICAN,1130635
2016,ARKANSAS,AR,"CLINTON, HILLARY",DEMOCRAT,1130635
2016,CALIFORNIA,CA,"CLINTON, HILLARY",DEMOCRAT,14181595
2016,CALIFORNIA,CA,"TRUMP, DONALD J.",REPUBLICAN,14181595
2016,COLORADO,CO,"CLINTON, HILLARY",DEMOCRAT,2780220
2016,COLORADO,CO,"TRUMP, DONALD J.",REPUBLICAN,2780220
2016,CONNECTICUT,CT,"CLINTON, HILLARY",DEMOCRAT,1644920
2016,CONNECTICUT,CT,"TRUMP, DONALD J.",REPUBLICAN,1644920
2016,DELAWARE,DE,"CLINTON, HILLARY",DEMOCRAT,441590
2016,DELAWARE,DE,"TRUMP, DONALD J.",REPUBLICAN,441590
2016,DISTRICT OF COLUMBIA,DC,"CLINTON, HILLARY",DEMOCRAT,312575
2016,DISTRICT OF COLUMBIA,DC,"TRUMP, DONALD J.",REPUBLICAN,312575
2016,FLORIDA,FL,"TRUMP, DONALD J.",REPUBLICAN,9420039
2016,FLORIDA,FL,"CLINTON, HILLARY",DEMOCRAT,9420039
2016,GEORGIA,GA,"TRUMP, DONALD J.",REPUBLICAN,4114732
2016,GEORGIA,GA,"CLINTON, HILLARY",DEMOCRAT,4114732
2016,HAWAII,HI,"CLINTON, HILLARY",DEMOCRAT,437664
2016,HAWAII,HI,"TRUMP, DONALD J.",REPUBLICAN,437664
2016,IDAHO,ID,"TRUMP, DONALD J.",REPUBLICAN,690255
2016,IDAHO,ID,"CLINTON, HILLARY",DEMOCRAT,690255
2016,ILLINOIS,IL,"CLINTON, HILLARY",DEMOCRAT,5536424
2016,ILLINOIS,IL,"TRUMP, DONALD J.",REPUBLICAN,5536424
2016,INDIANA,IN,"TRUMP, DONALD J.",REPUBLICAN,2734958
2016,INDIANA,IN,"CLINTON, HILLARY",DEMOCRAT,2734958
2016,IOWA,IA,"TRUMP, DONALD J.",REPUBLICAN,1565580
2016,IOWA,IA,"CLINTON, HILLARY",DEMOCRAT,1565580
2016,KANSAS,KS,"TRUMP, DONALD J.",REPUBLICAN,1184402
2016,KANSAS,KS,"CLINTON, HILLARY",DEMOCRAT,1184402
2016,KENTUCKY,KY,"TRUMP, DONALD J.",REPUBLICAN,1924149
2016,KENTUCKY,KY,"CLINTON, HILLARY",DEMOCRAT,1924149
2016,LOUISIANA,LA,"TRUMP, DONALD J.",REPUBLICAN,2029032
2016,LOUISIANA,LA,"CLINTON, HILLARY",DEMOCRAT,2029032
2016,MAINE,ME,"CLINTON, HILLARY",DEMOCRAT,771892
2016,MAINE,ME,"TRUMP, DONALD J.",REPUBLICAN,771892
2016,MARYLAND,MD,"CLINTON, HILLARY",DEMOCRAT,2781446
2016,MARYLAND,MD,"TRUMP, DONALD J.",REPUBLICAN,2781446
2016,MARYLAND,MD,"TRUMP, DONALD J.",REPUBLICAN,2781446
2016,MARYLAND,MD,"CLINTON, HILLARY",DEMOCRAT,2781446
2016,MASSACHUSETTS,MA,"CLINTON, HILLARY",DEMOCRAT,3378821
2016,MASSACHUSETTS,MA,"TRUMP, DONALD J.",REPUBLICAN,3378821
2016,MICHIGAN,MI,"TRUMP, DONALD J.",REPUBLICAN,4799284
2016,MICHIGAN,MI,"CLINTON, HILLARY",DEMOCRAT,4799284
2016,MINNESOTA,MN,"CLINTON, HILLARY",DEMOCRAT,2944782
2016,MINNESOTA,MN,"TRUMP, DONALD J.",REPUBLICAN,2944782
2016,MISSISSIPPI,MS,"TRUMP, DONALD J.",REPUBLICAN,1209357
2016,MISSISSIPPI,MS,"CLINTON, HILLARY",DEMOCRAT,1209357
2016,MISSOURI,MO,"TRUMP, DONALD J.",REPUBLICAN,2808605
2016,MISSOURI,MO,"CLINTON, HILLARY",DEMOCRAT,2808605
2016,MONTANA,MT,"TRUMP, DONALD J.",REPUBLICAN,494526
2016,MONTANA,MT,"CLINTON, HILLARY",DEMOCRAT,494526
2016,NEBRASKA,NE,"TRUMP, DONALD J.",REPUBLICAN,844227
2016,NEBRASKA,NE,"CLINTON, HILLARY",DEMOCRAT,844227
2016,NEVADA,NV,"CLINTON, HILLARY",DEMOCRAT,1125385
2016,NEVADA,NV,"TRUMP, DONALD J.",REPUBLICAN,1125385
2016,NEW HAMPSHIRE,NH,"CLINTON, HILLARY",DEMOCRAT,744296
2016,NEW HAMPSHIRE,NH,"TRUMP, DONALD J.",REPUBLICAN,744296
2016,NEW JERSEY,NJ,"CLINTON, HILLARY",DEMOCRAT,3874046
2016,NEW JERSEY,NJ,"TRUMP, DONALD J.",REPUBLICAN,3874046
2016,NEW MEXICO,NM,"CLINTON, HILLARY",DEMOCRAT,798319
2016,NEW MEXICO,NM,"TRUMP, DONALD J.",REPUBLICAN,798319
2016,NEW YORK,NY,"CLINTON, HILLARY",DEMOCRAT,7802084
2016,NEW YORK,NY,"TRUMP, DONALD J.",REPUBLICAN,7802084
2016,NORTH CAROLINA,NC,"TRUMP, DONALD J.",REPUBLICAN,4741564
2016,NORTH CAROLINA,NC,"CLINTON, HILLARY",DEMOCRAT,4741564
2016,NORTH DAKOTA,ND,"TRUMP, DONALD J.",REPUBLICAN,344360
2016,NORTH DAKOTA,ND,"CLINTON, HILLARY",DEMOCRAT,344360
2016,OHIO,OH,"TRUMP, DONALD J.",REPUBLICAN,5496487
2016,OHIO,OH,"CLINTON, HILLARY",DEMOCRAT,5496487
2016,OKLAHOMA,OK,"TRUMP, DONALD J.",REPUBLICAN,1452992
2016,OKLAHOMA,OK,"CLINTON, HILLARY",DEMOCRAT,1452992
2016,OREGON,OR,"CLINTON, HILLARY",DEMOCRAT,2001336
2016,OREGON,OR,"TRUMP, DONALD J.",REPUBLICAN,2001336
2016,PENNSYLVANIA,PA,"TRUMP, DONALD J.",REPUBLICAN,6115402
2016,PENNSYLVANIA,PA,"CLINTON, HILLARY",DEMOCRAT,6115402
2016,RHODE ISLAND,RI,"CLINTON, HILLARY",DEMOCRAT,464144
2016,RHODE ISLAND,RI,"TRUMP, DONALD J.",REPUBLICAN,464144
2016,SOUTH CAROLINA,SC,"TRUMP, DONALD J.",REPUBLICAN,2103027
2016,SOUTH CAROLINA,SC,"CLINTON, HILLARY",DEMOCRAT,2103027
2016,SOUTH DAKOTA,SD,"TRUMP, DONALD J.",REPUBLICAN,370093
2016,SOUTH DAKOTA,SD,"CLINTON, HILLARY",DEMOCRAT,370093
2016,TENNESSEE,TN,"TRUMP, DONALD J.",REPUBLICAN,2508027
2016,TENNESSEE,TN,"CLINTON, HILLARY",DEMOCRAT,2508027
2016,TEXAS,TX,"TRUMP, DONALD J.",REPUBLICAN,8969226
2016,TEXAS,TX,"CLINTON, HILLARY",DEMOCRAT,8969226
2016,UTAH,UT,"TRUMP, DONALD J.",REPUBLICAN,1131317
2016,UTAH,UT,"CLINTON, HILLARY",DEMOCRAT,1131317
2016,VERMONT,VT,"CLINTON, HILLARY",DEMOCRAT,320467
2016,VERMONT,VT,"TRUMP, DONALD J.",REPUBLICAN,320467
2016,VIRGINIA,VA,"CLINTON, HILLARY",DEMOCRAT,3982752
2016,VIRGINIA,VA,"TRUMP, DONALD J.",REPUBLICAN,3982752
2016,WASHINGTON,WA,"CLINTON, HILLARY",DEMOCRAT,3317019
2016,WASHINGTON,WA,"TRUMP, DONALD J.",REPUBLICAN,3317019
2016,WEST VIRGINIA,WV,"TRUMP, DONALD J.",REPUBLICAN,713051
2016,WEST VIRGINIA,WV,"CLINTON, HILLARY",DEMOCRAT,713051
2016,WISCONSIN,WI,"TRUMP, DONALD J.",REPUBLICAN,2976150
2016,WISCONSIN,WI,"CLINTON, HILLARY",DEMOCRAT,2976150
2016,WYOMING,WY,"TRUMP, DONALD J.",REPUBLICAN,258788
2016,WYOMING,WY,"CLINTON, HILLARY",DEMOCRAT,258788
2020,ALABAMA,AL,"BIDEN, JOSEPH R. JR",DEMOCRAT,2323282
2020,ALABAMA,AL,"TRUMP, DONALD J.",REPUBLICAN,2323282
2020,ALASKA,AK,"BIDEN, JOSEPH R. JR",DEMOCRAT,359530
2020,ALASKA,AK,"TRUMP, DONALD J.",REPUBLICAN,359530
2020,ARIZONA,AZ,"BIDEN, JOSEPH R. JR",DEMOCRAT,3387326
2020,ARIZONA,AZ,"TRUMP, DONALD J.",REPUBLICAN,3387326
2020,ARKANSAS,AR,"BIDEN, JOSEPH R. JR",DEMOCRAT,1219069
2020,ARKANSAS,AR,"TRUMP, DONALD J.",REPUBLICAN,1219069
2020,CALIFORNIA,CA,"BIDEN, JOSEPH R. JR",DEMOCRAT,17500881
2020,CALIFORNIA,CA,"TRUMP, DONALD J.",REPUBLICAN,17500881
2020,COLORADO,CO,"BIDEN, JOSEPH R. JR",DEMOCRAT,3279980
2020,COLORADO,CO,"TRUMP, DONALD J.",REPUBLICAN,3279980
2020,CONNECTICUT,CT,"BIDEN, JOSEPH R. JR",DEMOCRAT,1823857
2020,CONNECTICUT,CT,"TRUMP, DONALD J.",REPUBLICAN,1823857
2020,DELAWARE,DE,"BIDEN, JOSEPH R. JR",DEMOCRAT,504346
2020,DELAWARE,DE,"TRUMP, DONALD J.",REPUBLICAN,504346
2020,DISTRICT OF COLUMBIA,DC,"BIDEN, JOSEPH R. JR",DEMOCRAT,344356
2020,DISTRICT OF COLUMBIA,DC,"TRUMP, DONALD J.",REPUBLICAN,344356
2020,FLORIDA,FL,"BIDEN, JOSEPH R. JR",DEMOCRAT,11067456
2020,FLORIDA,FL,"TRUMP, DONALD J.",REPUBLICAN,11067456
2020,GEORGIA,GA,"BIDEN, JOSEPH R. JR",DEMOCRAT,4999960
2020,GEORGIA,GA,"TRUMP, DONALD J.",REPUBLICAN,4999960
2020,HAWAII,HI,"BIDEN, JOSEPH R. JR",DEMOCRAT,579784
2020,HAWAII,HI,"TRUMP, DONALD J.",REPUBLICAN,579784
2020,IDAHO,ID,"BIDEN, JOSEPH R. JR",DEMOCRAT,868014
2020,IDAHO,ID,"TRUMP, DONALD J.",REPUBLICAN,868014
2020,ILLINOIS,IL,"BIDEN, JOSEPH R. JR",DEMOCRAT,6033743
2020,ILLINOIS,IL,"TRUMP, DONALD J.",REPUBLICAN,6033743
2020,INDIANA,IN,"BIDEN, JOSEPH R. JR",DEMOCRAT,3033118
2020,INDIANA,IN,"TRUMP, DONALD J.",REPUBLICAN,3033118
2020,IOWA,IA,"TRUMP, DONALD J.",REPUBLICAN,1700130
2020,IOWA,IA,"BIDEN, JOSEPH R. JR",DEMOCRAT,1700130
2020,KANSAS,KS,"TRUMP, DONALD J.",REPUBLICAN,1372303
2020,KANSAS,KS,"BIDEN, JOSEPH R. JR",DEMOCRAT,1372303
2020,KENTUCKY,KY,"TRUMP, DONALD J.",REPUBLICAN,2136768
2020,KENTUCKY,KY,"BIDEN, JOSEPH R. JR",DEMOCRAT,2136768
2020,LOUISIANA,LA,"BIDEN, JOSEPH R. JR",DEMOCRAT,2148062
2020,LOUISIANA,LA,"TRUMP, DONALD J.",REPUBLICAN,2148062
2020,MAINE,ME,"BIDEN, JOSEPH R. JR",DEMOCRAT,828305
2020,MAINE,ME,"TRUMP, DONALD J.",REPUBLICAN,828305
2020,MARYLAND,MD,"TRUMP, DONALD J.",REPUBLICAN,3037030
2020,MARYLAND,MD,"BIDEN, JOSEPH R. JR",DEMOCRAT,3037030
2020,MASSACHUSETTS,MA,"BIDEN, JOSEPH R. JR",DEMOCRAT,3658005
2020,MASSACHUSETTS,MA,"TRUMP, DONALD J.",REPUBLICAN,3658005
2020,MICHIGAN,MI,"BIDEN, JOSEPH R. JR",DEMOCRAT,5539302
2020,MICHIGAN,MI,"TRUMP, DONALD J.",REPUBLICAN,5539302
2020,MINNESOTA,MN,"TRUMP, DONALD J.",REPUBLICAN,3277171
2020,MINNESOTA,MN,"BIDEN, JOSEPH R. JR",DEMOCRAT,3277171
2020,MISSISSIPPI,MS,"BIDEN, JOSEPH R. JR",DEMOCRAT,1313759
2020,MISSISSIPPI,MS,"TRUMP, DONALD J.",REPUBLICAN,1313759
2020,MISSOURI,MO,"TRUMP, DONALD J.",REPUBLICAN,3025962
2020,MISSOURI,MO,"BIDEN, JOSEPH R. JR",DEMOCRAT,3025962
2020,MONTANA,MT,"TRUMP, DONALD J.",REPUBLICAN,603674
2020,MONTANA,MT,"BIDEN, JOSEPH R. JR",DEMOCRAT,603674
2020,NEBRASKA,NE,"TRUMP, DONALD J.",REPUBLICAN,956383
2020,NEBRASKA,NE,"BIDEN, JOSEPH R. JR",DEMOCRAT,956383
2020,NEVADA,NV,"TRUMP, DONALD J.",REPUBLICAN,1405376
2020,NEVADA,NV,"BIDEN, JOSEPH R. JR",DEMOCRAT,1405376
2020,NEW HAMPSHIRE,NH,"TRUMP, DONALD J.",REPUBLICAN,806182
2020,NEW HAMPSHIRE,NH,"BIDEN, JOSEPH R. JR",DEMOCRAT,806182
2020,NEW JERSEY,NJ,"TRUMP, DONALD J.",REPUBLICAN,4549353
2020,NEW JERSEY,NJ,"BIDEN, JOSEPH R. JR",DEMOCRAT,4549353
2020,NEW MEXICO,NM,"BIDEN, JOSEPH R. JR",DEMOCRAT,923965
2020,NEW MEXICO,NM,"TRUMP, DONALD J.",REPUBLICAN,923965
2020,NEW YORK,NY,"BIDEN, JOSEPH R. JR",DEMOCRAT,8661735
2020,NEW YORK,NY,"TRUMP, DONALD J.",REPUBLICAN,8661735
2020,NORTH CAROLINA,NC,"TRUMP, DONALD J.",REPUBLICAN,5524802
2020,NORTH CAROLINA,NC,"BIDEN, JOSEPH R. JR",DEMOCRAT,5524802
2020,NORTH DAKOTA,ND,"TRUMP, DONALD J.",REPUBLICAN,361819
2020,NORTH DAKOTA,ND,"BIDEN, JOSEPH R. JR",DEMOCRAT,361819
2020,OHIO,OH,"TRUMP, DONALD J.",REPUBLICAN,5922202
2020,OHIO,OH,"BIDEN, JOSEPH R. JR",DEMOCRAT,5922202
2020,OKLAHOMA,OK,"TRUMP, DONALD J.",REPUBLICAN,1560699
2020,OKLAHOMA,OK,"BIDEN, JOSEPH R. JR",DEMOCRAT,1560699
2020,OREGON,OR,"TRUMP, DONALD J.",REPUBLICAN,2374321
2020,OREGON,OR,"BIDEN, JOSEPH R. JR",DEMOCRAT,2374321
2020,PENNSYLVANIA,PA,"TRUMP, DONALD J.",REPUBLICAN,6915283
2020,PENNSYLVANIA,PA,"BIDEN, JOSEPH R. JR",DEMOCRAT,6915283
2020,RHODE ISLAND,RI,"BIDEN, JOSEPH R. JR",DEMOCRAT,516990
2020,RHODE ISLAND,RI,"TRUMP, DONALD J.",REPUBLICAN,516990
2020,SOUTH CAROLINA,SC,"TRUMP, DONALD J.",REPUBLICAN,2514096
2020,SOUTH CAROLINA,SC,"BIDEN, JOSEPH R. JR",DEMOCRAT,2514096
2020,SOUTH DAKOTA,SD,"TRUMP, DONALD J.",REPUBLICAN,422609
2020,SOUTH DAKOTA,SD,"BIDEN, JOSEPH R. JR",DEMOCRAT,422609
2020,TENNESSEE,TN,"TRUMP, DONALD J.",REPUBLICAN,3053851
2020,TENNESSEE,TN,"BIDEN, JOSEPH R. JR",DEMOCRAT,3053851
2020,TEXAS,TX,"TRUMP, DONALD J.",REPUBLICAN,11315056
2020,TEXAS,TX,"BIDEN, JOSEPH R. JR",DEMOCRAT,11315056
2020,UTAH,UT,"BIDEN, JOSEPH R. JR",DEMOCRAT,1488289
2020,UTAH,UT,"TRUMP, DONALD J.",REPUBLICAN,1488289
2020,VERMONT,VT,"BIDEN, JOSEPH R. JR",DEMOCRAT,370968
2020,VERMONT,VT,"TRUMP, DONALD J.",REPUBLICAN,370968
2020,VIRGINIA,VA,"BIDEN, JOSEPH R. JR",DEMOCRAT,4460524
2020,VIRGINIA,VA,"TRUMP, DONALD J.",REPUBLICAN,4460524
2020,WASHINGTON,WA,"BIDEN, JOSEPH R. JR",DEMOCRAT,4087631
2020,WASHINGTON,WA,"TRUMP, DONALD J.",REPUBLICAN,4087631
2020,WEST VIRGINIA,WV,"BIDEN, JOSEPH R. JR",DEMOCRAT,794652
2020,WEST VIRGINIA,WV,"TRUMP, DONALD J.",REPUBLICAN,794652
2020,WISCONSIN,WI,"BIDEN, JOSEPH R. JR",DEMOCRAT,3298041
2020,WISCONSIN,WI,"TRUMP, DONALD J.",REPUBLICAN,3298041
2020,WYOMING,WY,"BIDEN, JOSEPH R. JR",DEMOCRAT,278503
2020,WYOMING,WY,"TRUMP, DONALD J.",REPUBLICAN,278503
2024,ALASKA,AK,"HARRIS, KAMALA D.",DEMOCRAT,338177
2024,ALASKA,AK,"TRUMP, DONALD J.",REPUBLICAN,338177
2024,ALABAMA,AL,"HARRIS, KAMALA D.",DEMOCRAT,2265090
2024,ALABAMA,AL,"TRUMP, DONALD J.",REPUBLICAN,2265090
2024,ARKANSAS,AR,"TRUMP, DONALD J.",REPUBLICAN,1182676
2024,ARKANSAS,AR,"HARRIS, KAMALA D.",DEMOCRAT,1182676
2024,ARIZONA,AZ,"TRUMP, DONALD J.",REPUBLICAN,3389319
2024,ARIZONA,AZ,"HARRIS, KAMALA D.",DEMOCRAT,3389319
2024,CALIFORNIA,CA,"HARRIS, KAMALA D.",DEMOCRAT,15865475
2024,CALIFORNIA,CA,"TRUMP, DONALD J.",REPUBLICAN,15865475
2024,COLORADO,CO,"HARRIS, KAMALA D.",DEMOCRAT,3192745
2024,COLORADO,CO,"TRUMP, DONALD J.",REPUBLICAN,3192745
2024,CONNECTICUT,CT,"HARRIS, KAMALA D.",DEMOCRAT,1759010
2024,CONNECTICUT,CT,"TRUMP, DONALD J.",REPUBLICAN,1759010
2024,DISTRICT OF COLUMBIA,DC,"HARRIS, KAMALA D.",DEMOCRAT,325869
2024,DISTRICT OF COLUMBIA,DC,"TRUMP, DONALD J.",REPUBLICAN,325869
2024,DELAWARE,DE,"HARRIS, KAMALA D.",DEMOCRAT,512913
2024,DELAWARE,DE,"TRUMP, DONALD J.",REPUBLICAN,512913
2024,FLORIDA,FL,"HARRIS, KAMALA D.",DEMOCRAT,10893752
2024,FLORIDA,FL,"TRUMP, DONALD J.",REPUBLICAN,10893752
2024,GEORGIA,GA,"TRUMP, DONALD J.",REPUBLICAN,5250905
2024,GEORGIA,GA,"HARRIS, KAMALA D.",DEMOCRAT,5250905
2024,HAWAII,HI,"HARRIS, KAMALA D.",DEMOCRAT,522236
2024,HAWAII,HI,"TRUMP, DONALD J.",REPUBLICAN,522236
2024,IOWA,IA,"HARRIS, KAMALA D.",DEMOCRAT,1663506
2024,IOWA,IA,"TRUMP, DONALD J.",REPUBLICAN,1663506
2024,IDAHO,ID,"TRUMP, DONALD J.",REPUBLICAN,917466
2024,IDAHO,ID,"HARRIS, KAMALA D.",DEMOCRAT,917466
2024,ILLINOIS,IL,"TRUMP, DONALD J.",REPUBLICAN,5633310
2024,ILLINOIS,IL,"HARRIS, KAMALA D.",DEMOCRAT,5633310
2024,INDIANA,IN,"TRUMP, DONALD J.",REPUBLICAN,2936677
2024,INDIANA,IN,"HARRIS, KAMALA D.",DEMOCRAT,2936677
2024,KANSAS,KS,"TRUMP, DONALD J.",REPUBLICAN,1327591
2024,KANSAS,KS,"HARRIS, KAMALA D.",DEMOCRAT,1327591
2024,KENTUCKY,KY,"TRUMP, DONALD J.",REPUBLICAN,2074530
2024,KENTUCKY,KY,"HARRIS, KAMALA D.",DEMOCRAT,2074530
2024,LOUISIANA,LA,"HARRIS, KAMALA D.",DEMOCRAT,2006975
2024,LOUISIANA,LA,"TRUMP, DONALD J.",REPUBLICAN,2006975
2024,MASSACHUSETTS,MA,"HARRIS, KAMALA D.",DEMOCRAT,3512930
2024,MASSACHUSETTS,MA,"TRUMP, DONALD J.",REPUBLICAN,3512930
2024,MARYLAND,MD,"HARRIS, KAMALA D.",DEMOCRAT,3038334
2024,MARYLAND,MD,"TRUMP, DONALD J.",REPUBLICAN,3038334
2024,MAINE,ME,"HARRIS, KAMALA D.",DEMOCRAT,842447
2024,MAINE,ME,"TRUMP, DONALD J.",REPUBLICAN,842447
2024,MICHIGAN,MI,"TRUMP, DONALD J.",REPUBLICAN,5664186
2024,MICHIGAN,MI,"HARRIS, KAMALA D.",DEMOCRAT,5664186
2024,MINNESOTA,MN,"TRUMP, DONALD J.",REPUBLICAN,3253920
2024,MINNESOTA,MN,"HARRIS, KAMALA D.",DEMOCRAT,3253920
2024,MISSOURI,MO,"TRUMP, DONALD J.",REPUBLICAN,2995327
2024,MISSOURI,MO,"HARRIS, KAMALA D.",DEMOCRAT,2995327
2024,MISSISSIPPI,MS,"HARRIS, KAMALA D.",DEMOCRAT,1228008
2024,MISSISSIPPI,MS,"TRUMP, DONALD J.",REPUBLICAN,1228008
2024,MONTANA,MT,"TRUMP, DONALD J.",REPUBLICAN,602963
2024,MONTANA,MT,"HARRIS, KAMALA D.",DEMOCRAT,602963
2024,NORTH CAROLINA,NC,"TRUMP, DONALD J.",REPUBLICAN,5699141
2024,NORTH CAROLINA,NC,"HARRIS, KAMALA D.",DEMOCRAT,5699141
2024,NORTH DAKOTA,ND,"TRUMP, DONALD J.",REPUBLICAN,368155
2024,NORTH DAKOTA,ND,"HARRIS, KAMALA D.",DEMOCRAT,368155
2024,NEBRASKA,NE,"TRUMP, DONALD J.",REPUBLICAN,952182
2024,NEBRASKA,NE,"HARRIS, KAMALA D.",DEMOCRAT,952182
2024,NEW HAMPSHIRE,NH,"HARRIS, KAMALA D.",DEMOCRAT,831033
2024,NEW HAMPSHIRE,NH,"TRUMP, DONALD J.",REPUBLICAN,831033
2024,NEW JERSEY,NJ,"HARRIS, KAMALA D.",DEMOCRAT,4272725
2024,NEW JERSEY,NJ,"TRUMP, DONALD J.",REPUBLICAN,4272725
2024,NEW MEXICO,NM,"HARRIS, KAMALA D.",DEMOCRAT,923403
2024,NEW MEXICO,NM,"TRUMP, DONALD J.",REPUBLICAN,923403
2024,NEVADA,NV,"HARRIS, KAMALA D.",DEMOCRAT,1484840
2024,NEVADA,NV,"TRUMP, DONALD J.",REPUBLICAN,1484840
2024,NEW YORK,NY,"HARRIS, KAMALA D.",DEMOCRAT,8381429
2024,NEW YORK,NY,"TRUMP, DONALD J.",REPUBLICAN,8381429
2024,OHIO,OH,"HARRIS, KAMALA D.",DEMOCRAT,5767788
2024,OHIO,OH,"TRUMP, DONALD J.",REPUBLICAN,5767788
2024,OKLAHOMA,OK,"TRUMP, DONALD J.",REPUBLICAN,1566173
2024,OKLAHOMA,OK,"HARRIS, KAMALA D.",DEMOCRAT,1566173
2024,OREGON,OR,"TRUMP, DONALD J.",REPUBLICAN,2244493
2024,OREGON,OR,"HARRIS, KAMALA D.",DEMOCRAT,2244493
2024,PENNSYLVANIA,PA,"HARRIS, KAMALA D.",DEMOCRAT,7034206
2024,PENNSYLVANIA,PA,"TRUMP, DONALD J.",REPUBLICAN,7034206
2024,RHODE ISLAND,RI,"HARRIS, KAMALA D.",DEMOCRAT,513086
2024,RHODE ISLAND,RI,"TRUMP, DONALD J.",REPUBLICAN,513086
2024,SOUTH CAROLINA,SC,"TRUMP, DONALD J.",REPUBLICAN,2548140
2024,SOUTH CAROLINA,SC,"HARRIS, KAMALA D.",DEMOCRAT,2548140
2024,SOUTH DAKOTA,SD,"HARRIS, KAMALA D.",DEMOCRAT,428922
2024,SOUTH DAKOTA,SD,"TRUMP, DONALD J.",REPUBLICAN,428922
2024,TENNESSEE,TN,"TRUMP, DONALD J.",REPUBLICAN,3063942
2024,TENNESSEE,TN,"HARRIS, KAMALA D.",DEMOCRAT,3063942
2024,TEXAS,TX,"TRUMP, DONALD J.",REPUBLICAN,11388674
2024,TEXAS,TX,"HARRIS, KAMALA D.",DEMOCRAT,11388674
2024,UTAH,UT,"TRUMP, DONALD J.",REPUBLICAN,1488494
2024,UTAH,UT,"HARRIS, KAMALA D.",DEMOCRAT,1488494
2024,VIRGINIA,VA,"HARRIS, KAMALA D.",DEMOCRAT,4503288
2024,VIRGINIA,VA,"TRUMP, DONALD J.",REPUBLICAN,4503288
2024,VERMONT,VT,"HARRIS, KAMALA D.",DEMOCRAT,372885
2024,VERMONT,VT,"TRUMP, DONALD J.",REPUBLICAN,372885
2024,WASHINGTON,WA,"HARRIS, KAMALA D.",DEMOCRAT,3924243
2024,WASHINGTON,WA,"TRUMP, DONALD J.",REPUBLICAN,3924243
2024,WISCONSIN,WI,"HARRIS, KAMALA D.",DEMOCRAT,3422918
2024,WISCONSIN,WI,"TRUMP, DONALD J.",REPUBLICAN,3422918
2024,WEST VIRGINIA,WV,"TRUMP, DONALD J.",REPUBLICAN,762584
2024,WEST VIRGINIA,WV,"HARRIS, KAMALA D.",DEMOCRAT,762584
2024,WYOMING,WY,"TRUMP, DONALD J.",REPUBLICAN,271123
2024,WYOMING,WY,"HARRIS, KAMALA D.",DEMOCRAT,271123
